InstanceCount, QoS, Delay, Subscription QoS, Total Published Messages, Total Received Messages, Message Loss Rate
1, 0, 0, 0, 0, 0, 0.00
1, 0, 0, 1, 0, 0, 0.00
1, 0, 0, 2, 764660, 239774, 68.64
1, 0, 1, 0, 0, 0, 0.00
1, 0, 1, 1, 0, 0, 0.00
1, 0, 1, 2, 0, 27145, 0.00
1, 0, 2, 0, 0, 0, 0.00
1, 0, 2, 1, 0, 0, 0.00
1, 0, 2, 2, 40620, 13630, 66.45
1, 0, 4, 0, 0, 0, 0.00
1, 0, 4, 1, 0, 0, 0.00
1, 0, 4, 2, 21839, 109295, -400.46
1, 1, 0, 0, 0, 0, 0.00
1, 1, 0, 1, 0, 0, 0.00
1, 1, 0, 2, 123022, 5137, 95.82
1, 1, 1, 0, 0, 0, 0.00
1, 1, 1, 1, 0, 0, 0.00
1, 1, 1, 2, 0, 23269, 0.00
1, 1, 2, 0, 0, 0, 0.00
1, 1, 2, 1, 0, 0, 0.00
1, 1, 2, 2, 22184, 12795, 42.32
1, 1, 4, 0, 0, 0, 0.00
1, 1, 4, 1, 0, 0, 0.00
1, 1, 4, 2, 13079, 31032, -137.27
1, 2, 0, 0, 0, 0, 0.00
1, 2, 0, 1, 0, 0, 0.00
1, 2, 0, 2, 27014, 23012, 14.81
1, 2, 1, 0, 0, 0, 0.00
1, 2, 1, 1, 0, 0, 0.00
1, 2, 1, 2, 27061, 18395, 32.02
1, 2, 2, 0, 0, 0, 0.00
1, 2, 2, 1, 0, 0, 0.00
1, 2, 2, 2, 19084, 10951, 42.62
1, 2, 4, 0, 0, 0, 0.00
1, 2, 4, 1, 0, 0, 0.00
1, 2, 4, 2, 13703, 730302, -5229.50
2, 0, 0, 0, 0, 0, 0.00
2, 0, 0, 1, 0, 0, 0.00
2, 0, 0, 2, 4195185, 474712, 88.68
2, 0, 1, 0, 0, 0, 0.00
2, 0, 1, 1, 0, 0, 0.00
2, 0, 1, 2, 0, 713848, 0.00
2, 0, 2, 0, 0, 0, 0.00
2, 0, 2, 1, 0, 0, 0.00
2, 0, 2, 2, 0, 382379, 0.00
2, 0, 4, 0, 0, 0, 0.00
2, 0, 4, 1, 0, 0, 0.00
2, 0, 4, 2, 0, 687212, 0.00
2, 1, 0, 0, 0, 0, 0.00
2, 1, 0, 1, 0, 0, 0.00
2, 1, 0, 2, 0, 63483, 0.00
2, 1, 1, 0, 0, 0, 0.00
2, 1, 1, 1, 0, 0, 0.00
2, 1, 1, 2, 35997, 39240, -9.01
2, 1, 2, 0, 0, 0, 0.00
2, 1, 2, 1, 0, 0, 0.00
2, 1, 2, 2, 39150, 24230, 38.11
2, 1, 4, 0, 0, 0, 0.00
2, 1, 4, 1, 0, 0, 0.00
2, 1, 4, 2, 25438, 34370, -35.11
2, 2, 0, 0, 0, 0, 0.00
2, 2, 0, 1, 0, 0, 0.00
2, 2, 0, 2, 32330, 27931, 13.61
2, 2, 1, 0, 0, 0, 0.00
2, 2, 1, 1, 0, 0, 0.00
2, 2, 1, 2, 37974, 25106, 33.89
2, 2, 2, 0, 0, 0, 0.00
2, 2, 2, 1, 0, 0, 0.00
2, 2, 2, 2, 30948, 20866, 32.58
2, 2, 4, 0, 0, 0, 0.00
2, 2, 4, 1, 0, 0, 0.00
2, 2, 4, 2, 24097, 677442, -2711.31
3, 0, 0, 0, 0, 0, 0.00
3, 0, 0, 1, 0, 0, 0.00
3, 0, 0, 2, 1387699, 406412, 70.71
3, 0, 1, 0, 0, 0, 0.00
3, 0, 1, 1, 0, 0, 0.00
3, 0, 1, 2, 0, 82231, 0.00
3, 0, 2, 0, 0, 0, 0.00
3, 0, 2, 1, 0, 0, 0.00
3, 0, 2, 2, 434645, 38309, 91.19
3, 0, 4, 0, 0, 0, 0.00
3, 0, 4, 1, 0, 0, 0.00
3, 0, 4, 2, 44777, 138525, -209.37
3, 1, 0, 0, 0, 0, 0.00
3, 1, 0, 1, 0, 0, 0.00
3, 1, 0, 2, 85354, 82759, 3.04
3, 1, 1, 0, 0, 0, 0.00
3, 1, 1, 1, 0, 0, 0.00
3, 1, 1, 2, 103447, 59039, 42.93
3, 1, 2, 0, 0, 0, 0.00
3, 1, 2, 1, 0, 0, 0.00
3, 1, 2, 2, 69549, 35719, 48.64
3, 1, 4, 0, 0, 0, 0.00
3, 1, 4, 1, 0, 0, 0.00
3, 1, 4, 2, 69134, 32924, 52.38
3, 2, 0, 0, 0, 0, 0.00
3, 2, 0, 1, 0, 0, 0.00
3, 2, 0, 2, 40830, 31713, 22.33
3, 2, 1, 0, 0, 0, 0.00
3, 2, 1, 1, 0, 0, 0.00
3, 2, 1, 2, 43076, 28273, 34.36
3, 2, 2, 0, 0, 0, 0.00
3, 2, 2, 1, 0, 0, 0.00
3, 2, 2, 2, 38840, 24446, 37.06
3, 2, 4, 0, 0, 0, 0.00
3, 2, 4, 1, 0, 0, 0.00
3, 2, 4, 2, 40118, 715360, -1683.14
4, 0, 0, 0, 0, 0, 0.00
4, 0, 0, 1, 0, 0, 0.00
4, 0, 0, 2, 1055103, 423353, 59.88
4, 0, 1, 0, 0, 0, 0.00
4, 0, 1, 1, 0, 0, 0.00
4, 0, 1, 2, 0, 362724, 0.00
4, 0, 2, 0, 0, 0, 0.00
4, 0, 2, 1, 0, 0, 0.00
4, 0, 2, 2, 1109632, 48179, 95.66
4, 0, 4, 0, 0, 0, 0.00
4, 0, 4, 1, 0, 0, 0.00
4, 0, 4, 2, 67297, 127029, -88.76
4, 1, 0, 0, 0, 0, 0.00
4, 1, 0, 1, 0, 0, 0.00
4, 1, 0, 2, 98385, 90241, 8.28
4, 1, 1, 0, 0, 0, 0.00
4, 1, 1, 1, 0, 0, 0.00
4, 1, 1, 2, 117688, 66950, 43.11
4, 1, 2, 0, 0, 0, 0.00
4, 1, 2, 1, 0, 0, 0.00
4, 1, 2, 2, 84625, 43602, 48.48
4, 1, 4, 0, 0, 0, 0.00
4, 1, 4, 1, 0, 0, 0.00
4, 1, 4, 2, 43853, 35451, 19.16
4, 2, 0, 0, 0, 0, 0.00
4, 2, 0, 1, 0, 0, 0.00
4, 2, 0, 2, 51892, 37423, 27.88
4, 2, 1, 0, 0, 0, 0.00
4, 2, 1, 1, 0, 0, 0.00
4, 2, 1, 2, 43936, 29269, 33.38
4, 2, 2, 0, 0, 0, 0.00
4, 2, 2, 1, 0, 0, 0.00
4, 2, 2, 2, 40521, 26071, 35.66
4, 2, 4, 0, 0, 0, 0.00
4, 2, 4, 1, 0, 0, 0.00
4, 2, 4, 2, 34063, 497295, -1359.93
5, 0, 0, 0, 0, 0, 0.00
5, 0, 0, 1, 0, 0, 0.00
5, 0, 0, 2, 2534199, 378611, 85.06
5, 0, 1, 0, 0, 0, 0.00
5, 0, 1, 1, 0, 0, 0.00
5, 0, 1, 2, 0, 768286, 0.00
5, 0, 2, 0, 0, 0, 0.00
5, 0, 2, 1, 0, 0, 0.00
5, 0, 2, 2, 0, 437782, 0.00
5, 0, 4, 0, 0, 0, 0.00
5, 0, 4, 1, 0, 0, 0.00
5, 0, 4, 2, 0, 400937, 0.00
5, 1, 0, 0, 0, 0, 0.00
5, 1, 0, 1, 0, 0, 0.00
5, 1, 0, 2, 1357829, 97387, 92.83
5, 1, 1, 0, 0, 0, 0.00
5, 1, 1, 1, 0, 0, 0.00
5, 1, 1, 2, 104386, 83512, 20.00
5, 1, 2, 0, 0, 0, 0.00
5, 1, 2, 1, 0, 0, 0.00
5, 1, 2, 2, 96679, 55532, 42.56
5, 1, 4, 0, 0, 0, 0.00
5, 1, 4, 1, 0, 0, 0.00
5, 1, 4, 2, 59423, 38797, 34.71
5, 2, 0, 0, 0, 0, 0.00
5, 2, 0, 1, 0, 0, 0.00
5, 2, 0, 2, 56104, 32025, 42.92
5, 2, 1, 0, 0, 0, 0.00
5, 2, 1, 1, 0, 0, 0.00
5, 2, 1, 2, 54883, 31335, 42.91
5, 2, 2, 0, 0, 0, 0.00
5, 2, 2, 1, 0, 0, 0.00
5, 2, 2, 2, 47132, 31862, 32.40
5, 2, 4, 0, 0, 0, 0.00
5, 2, 4, 1, 0, 536820, 0.00
5, 2, 4, 2, 58153, 949, 98.37
